Attendence,Hours_Studied,Marks
77.77777777777777,6.0,65.89621599919703
78.28282828282829,16.0,67.69322858211747
86.86868686868686,15.0,74.73900284198386
85.85858585858585,7.0,72.79434186209252
59.09090909090909,15.0,51.49916930404736
85.85858585858585,1.0,71.96965976911775
91.91919191919192,13.0,78.6895330906171
58.58585858585859,0.0,49.01492164364794
81.31313131313132,12.0,69.67869508790918
93.93939393939394,6.0,79.41757369399646
56.06060606060606,6.0,47.726891596810304
67.17171717171718,9.0,57.4351660584723
84.34343434343435,11.0,72.0765026401883
96.96969696969697,8.0,82.22772229276295
80.8080808080808,0.0,67.60678847399714
61.111111111111114,10.0,52.5021039384183
65.65656565656566,12.0,56.57987982107223
98.48484848484848,10.0,83.77024360764197
79.2929292929293,12.0,67.98852537605926
53.03030303030303,10.0,45.741425091018584
92.92929292929293,0.0,77.74780674509672
80.30303030303031,6.0,68.00892813900944
75.25252525252526,0.0,62.95882176640985
97.97979797979798,17.0,84.30983028815007
88.3838383838384,9.0,75.18194803289656
100.0,0.0,83.66340073657148
60.60606060606061,17.0,53.0416906189264
67.17171717171718,1.0,56.335589934505926
88.88888888888889,1.0,74.50491433689265
79.2929292929293,2.0,66.6140552211013
63.63636363636364,10.0,54.61481607823071
56.56565656565657,4.0,47.87453999378119
100.0,17.0,86.0
59.09090909090909,10.0,50.81193422656838
85.85858585858585,16.0,74.0313650015547
79.2929292929293,11.0,67.85107836056346
71.21212121212122,1.0,59.715929358205784
70.20202020202021,7.0,59.6955265952556
62.62626262626263,2.0,52.670155098339386
61.111111111111114,1.0,51.26508079895615
92.92929292929293,16.0,79.94695899302945
73.73737373737374,14.0,63.615452699463546
56.06060606060606,1.0,47.039656519331324
63.63636363636364,8.0,54.33992204723912
70.70707070707071,2.0,59.4308339457391
79.2929292929293,15.0,68.40086642254664
82.82828282828282,0.0,69.29695818584707
75.75757575757575,4.0,63.9311522563555
80.8080808080808,12.0,69.2561526599467
93.43434343434345,8.0,79.26992529702558
80.30303030303031,11.0,68.69616321648843
97.47474747474749,10.0,82.92515875171703
100.0,0.0,83.66340073657148
83.33333333333334,9.0,70.95652375327174
82.32323232323233,14.0,70.79867397482576
98.98989898989899,8.0,83.91789200461287
76.26262626262627,1.0,63.941353637830616
54.04040404040404,2.0,45.486933822977186
59.09090909090909,14.0,51.36172228855156
59.09090909090909,3.0,49.84980511809781
85.35353535353536,13.0,73.19648152710485
88.88888888888889,1.0,74.50491433689265
76.76767676767676,1.0,64.36389606579309
86.36363636363637,8.0,73.35433130555083
73.23232323232324,12.0,62.91801624050947
65.65656565656566,4.0,55.48030369710586
63.63636363636364,0.0,53.240345923272756
77.27272727272728,7.0,65.61112058673035
55.55555555555556,11.0,47.9915842463268
79.79797979797979,7.0,67.72383272654275
82.82828282828282,5.0,69.98419326332605
55.05050505050505,7.0,47.019253756381126
96.46464646464648,5.0,81.3928388183131
95.95959595959596,3.0,80.69540235935901
69.6969696969697,15.0,60.37256029125949
62.62626262626263,10.0,53.76973122230576
79.2929292929293,17.0,68.67576045353823
57.57575757575758,12.0,49.81920097367253
52.525252525252526,16.0,46.14356475603088
86.36363636363637,6.0,73.07943727455924
56.56565656565657,10.0,48.69922208675597
74.24242424242425,14.0,64.03799512742603
